Time,AAPL,AMZN,BRK-B,GOOGL,JNJ,MSFT,NVDA,UNH,V,XOM
791,0.21467465,0.21467465,0.02944049,0.11508374,0.07740444,0.0,0.0,0.0,0.21467465,0.13404737
792,0.0,0.24359594,0.0,0.0,0.0,0.23181573,0.007950034,0.07352823,0.19951414,0.24359594
793,0.20634358,0.2515784,0.025655504,0.0,0.0,0.053022448,0.2515784,0.0,0.0,0.21182176
794,0.25165474,0.61197656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636872
795,0.0,0.33211586,0.0,0.0,0.0,0.058871463,0.33211586,0.0,0.0,0.27689683
796,0.33118278,0.0,0.0,0.0,0.21435584,0.33118278,0.0,0.0,0.038973372,0.08430529
797,0.0,0.082751885,0.49167275,0.0,0.0,0.18566382,0.23991153,0.0,0.0,0.0
798,0.016694294,0.2941479,0.2877082,0.0,0.0,0.15142941,0.25002024,0.0,0.0,0.0
799,0.0,0.6505589,0.0,0.0,0.34944108,0.0,0.0,0.0,0.0,0.0
800,0.0,0.43497804,0.13004395,0.0,0.0,0.43497804,0.0,0.0,0.0,0.0
801,0.19308904,0.27716604,0.0,0.0,0.0,0.0,0.27716604,0.0,0.25257885,0.0
802,0.059739504,0.39018434,3.5910314e-05,0.015969094,0.0,0.39018434,0.0,0.0,0.1438868,0.0
803,0.18438962,0.27405226,0.26750585,0.0,0.0,0.0,0.0,0.0,0.27405226,0.0
804,0.0,0.6502531,0.0,0.0,0.0,0.12621278,0.14653906,0.07699503,0.0,0.0
805,0.0,0.4742295,0.0,0.0,0.0,0.25683582,0.26893467,0.0,0.0,0.0
806,0.19372906,0.0,0.19372906,0.0,0.0,0.19372906,0.031354725,0.0,0.19372906,0.19372906
807,0.0,0.25356147,0.0,0.0,0.0,0.28076506,0.39252818,0.0,0.0,0.07314533
808,0.0,0.62385315,0.13715456,0.0,0.0,0.23899226,0.0,0.0,0.0,0.0
809,0.0991642,0.28160506,0.0,0.0,0.0,0.05615159,0.0,0.0,0.5630792,0.0
810,0.0,0.25130922,0.04810804,0.0,0.0,0.25130922,0.098773874,0.0,0.25024357,0.10025607
811,0.0,0.08633121,0.0,0.0,0.2682286,0.29175568,0.0,0.0,0.17221963,0.1814649
812,0.112492956,0.06375231,0.18532903,0.0,0.046476223,0.0,0.20856073,0.17482802,0.0,0.20856073
813,0.33808774,0.33808774,0.0,0.0,0.0,0.0,0.18319263,0.0,0.0,0.14063187
814,0.0,0.18689555,0.13901363,0.0,0.4205198,0.0,0.0,0.0,0.25357103,0.0
815,0.111153044,0.40876594,0.0,0.0,0.0,0.16939415,0.027479874,0.0,0.283207,0.0
816,0.0,0.5987053,0.2842331,0.0,0.0,0.0,0.10829081,0.0,0.0,0.00877086
817,0.3658791,0.08076097,0.0,0.0,0.0,0.0,0.3658791,0.0,0.101460576,0.086020246
818,0.0,0.45338675,0.09322648,0.0,0.0,0.0,0.45338675,0.0,0.0,0.0
819,0.36892855,0.36892855,0.14818814,0.0,0.0,0.0836964,0.0,0.0,0.0,0.030258384
820,0.0,0.52187675,0.035620514,0.12729342,0.0,0.0,0.31520933,0.0,0.0,0.0
821,0.0,0.41750672,0.06731386,0.0,0.0,0.0052098916,0.32179803,0.13399798,0.054173533,0.0
822,0.10149037,0.49769363,0.0,0.0,0.0,0.0,0.35323998,0.0,0.0,0.04757607
823,0.0,0.20950979,0.29514876,0.0,0.0,0.0,0.402839,0.09250245,0.0,0.0
